timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1492035485.7880311012,1492035485.7908689976, -0.1837,  0.0163,  0.0266,  0.0046,  0.0027, -0.0075
1492035485.7913289070,1492035485.7936298847, -0.1837,  0.0163,  0.0266,  0.0046,  0.0027, -0.0075
1492035485.7940208912,1492035485.7963399887, -0.1830,  0.0158,  0.0237,  0.0046,  0.0027, -0.0075
1492035485.7967109680,1492035485.7990069389, -0.1830,  0.0158,  0.0237,  0.0046,  0.0034, -0.0073
1492035485.7993760109,1492035485.8016860485, -0.1830,  0.0158,  0.0237,  0.0055,  0.0034, -0.0073
1492035485.8020589352,1492035485.8043870926, -0.1830,  0.0158,  0.0237,  0.0055,  0.0034, -0.0073
1492035485.8047571182,1492035485.8070518970, -0.1830,  0.0158,  0.0237,  0.0055,  0.0034, -0.0073
1492035485.8074231148,1492035485.8097269535, -0.1830,  0.0158,  0.0237,  0.0055,  0.0035, -0.0079
1492035485.8101959229,1492035485.8125081062, -0.1830,  0.0158,  0.0237,  0.0055,  0.0035, -0.0079
1492035485.8128769398,1492035485.8151779175, -0.1832,  0.0153,  0.0212,  0.0055,  0.0035, -0.0079
1492035485.8155479431,1492035485.8178510666, -0.1832,  0.0153,  0.0212,  0.0055,  0.0035, -0.0079
1492035485.8182210922,1492035485.8205230236, -0.1832,  0.0153,  0.0212,  0.0038,  0.0032, -0.0074
1492035485.8208940029,1492035485.8231959343, -0.1832,  0.0153,  0.0212,  0.0038,  0.0032, -0.0074
1492035485.8235681057,1492035485.8258650303, -0.1832,  0.0153,  0.0212,  0.0038,  0.0032, -0.0074
1492035485.8262341022,1492035485.8285310268, -0.1832,  0.0153,  0.0212,  0.0038,  0.0032, -0.0074
1492035485.8288989067,1492035485.8313620090, -0.1832,  0.0153,  0.0212,  0.0028,  0.0024, -0.0065
1492035485.8317329884,1492035485.8340311050, -0.1832,  0.0153,  0.0232,  0.0028,  0.0024, -0.0065
1492035485.8344020844,1492035485.8367030621, -0.1827,  0.0144,  0.0232,  0.0028,  0.0024, -0.0065
1492035485.8370759487,1492035485.8393709660, -0.1827,  0.0144,  0.0232,  0.0028,  0.0024, -0.0065
1492035485.8397409916,1492035485.8420500755, -0.1827,  0.0144,  0.0232,  0.0024,  0.0011, -0.0057
1492035485.8424201012,1492035485.8447229862, -0.1827,  0.0144,  0.0232,  0.0024,  0.0011, -0.0057
1492035485.8450930119,1492035485.8473939896, -0.1827,  0.0144,  0.0232,  0.0024,  0.0011, -0.0057
1492035485.8477630615,1492035485.8500699997, -0.1827,  0.0144,  0.0232,  0.0024,  0.0011, -0.0042
1492035485.8504409790,1492035485.8527400494, -0.1827,  0.0144,  0.0232, -0.0010,  0.0010, -0.0042
1492035485.8531110287,1492035485.8555140495, -0.1830,  0.0151,  0.0240, -0.0010,  0.0010, -0.0042
1492035485.8558869362,1492035485.8581829071, -0.1830,  0.0151,  0.0240, -0.0010,  0.0010, -0.0042
1492035485.8585538864,1492035485.8611481190, -0.1830,  0.0151,  0.0240, -0.0088,  0.0012, -0.0055
1492035485.8615229130,1492035485.8638188839, -0.1830,  0.0151,  0.0240, -0.0151,  0.0012, -0.0055
1492035485.8641901016,1492035485.8664929867, -0.1830,  0.0151,  0.0240, -0.0151,  0.0012, -0.0055
1492035485.8668620586,1492035485.8691599369, -0.1830,  0.0151,  0.0240, -0.0151,  0.0012, -0.0055
1492035485.8695299625,1492035485.8720569611, -0.1830,  0.0151,  0.0240, -0.0332,  0.0022, -0.0093
1492035485.8724319935,1492035485.8748250008, -0.1805,  0.0156,  0.0215, -0.0332,  0.0022, -0.0093
1492035485.8752028942,1492035485.8776690960, -0.1805,  0.0156,  0.0215, -0.0332,  0.0022, -0.0093
1492035485.8780479431,1492035485.8804700375, -0.1805,  0.0156,  0.0215, -0.0332,  0.0022, -0.0093
1492035485.8808391094,1492035485.8831400871, -0.1805,  0.0156,  0.0215, -0.0245,  0.0031, -0.0086
1492035485.8835101128,1492035485.8858060837, -0.1805,  0.0156,  0.0215, -0.0245,  0.0031, -0.0086
1492035485.8861780167,1492035485.8884799480, -0.1805,  0.0156,  0.0215, -0.0245,  0.0031, -0.0086
1492035485.8888490200,1492035485.8911929131, -0.1805,  0.0156,  0.0215, -0.0245,  0.0031, -0.0053
1492035485.8915629387,1492035485.8938660622, -0.1805,  0.0156,  0.0264, -0.0209,  0.0016, -0.0053
1492035485.8942360878,1492035485.8965339661, -0.1781,  0.0136,  0.0264, -0.0209,  0.0016, -0.0053
1492035485.8969039917,1492035485.8992080688, -0.1781,  0.0136,  0.0264, -0.0209,  0.0016, -0.0053
1492035485.8995780945,1492035485.9020409584, -0.1781,  0.0136,  0.0264, -0.0287,  0.0029, -0.0078
1492035485.9025690556,1492035485.9050049782, -0.1781,  0.0136,  0.0264, -0.0247,  0.0029, -0.0078
1492035485.9053819180,1492035485.9078059196, -0.1781,  0.0136,  0.0264, -0.0247,  0.0029, -0.0078
1492035485.9081850052,1492035485.9105939865, -0.1781,  0.0136,  0.0264, -0.0247,  0.0029, -0.0078
1492035485.9109640121,1492035485.9132680893, -0.1781,  0.0136,  0.0202, -0.0299,  0.0035, -0.0101
1492035485.9136350155,1492035485.9159319401, -0.1844,  0.0238,  0.0202, -0.0299,  0.0035, -0.0101
1492035485.9163000584,1492035485.9186038971, -0.1844,  0.0238,  0.0202, -0.0299,  0.0035, -0.0101
1492035485.9189729691,1492035485.9213581085, -0.1844,  0.0238,  0.0202, -0.0299,  0.0035, -0.0101
1492035485.9217269421,1492035485.9240279198, -0.1844,  0.0238,  0.0202, -0.0332,  0.0057, -0.0106
1492035485.9243969917,1492035485.9266979694, -0.1844,  0.0238,  0.0202, -0.0332,  0.0057, -0.0106
1492035485.9270670414,1492035485.9293689728, -0.1844,  0.0238,  0.0202, -0.0332,  0.0057, -0.0106
1492035485.9297370911,1492035485.9321389198, -0.1844,  0.0238,  0.0202, -0.0332,  0.0057, -0.0084
1492035485.9325098991,1492035485.9348111153, -0.1819,  0.0171,  0.0212, -0.0288,  0.0058, -0.0084
1492035485.9351820946,1492035485.9374821186, -0.1819,  0.0171,  0.0212, -0.0288,  0.0058, -0.0084
1492035485.9378499985,1492035485.9401628971, -0.1819,  0.0171,  0.0212, -0.0288,  0.0058, -0.0084
1492035485.9405410290,1492035485.9429509640, -0.1819,  0.0171,  0.0212, -0.0288,  0.0056, -0.0058
1492035485.9433279037,1492035485.9457349777, -0.1819,  0.0171,  0.0212, -0.0265,  0.0056, -0.0058
1492035485.9461119175,1492035485.9485239983, -0.1819,  0.0171,  0.0212, -0.0265,  0.0056, -0.0058
1492035485.9488999844,1492035485.9513139725, -0.1819,  0.0171,  0.0212, -0.0265,  0.0056, -0.0058
1492035485.9516899586,1492035485.9541139603, -0.1895,  0.0203,  0.0182, -0.0287,  0.0080, -0.0062
1492035485.9544899464,1492035485.9569039345, -0.1895,  0.0203,  0.0182, -0.0287,  0.0080, -0.0062
1492035485.9572811127,1492035485.9596929550, -0.1895,  0.0203,  0.0182, -0.0287,  0.0080, -0.0062
1492035485.9600770473,1492035485.9624869823, -0.1895,  0.0203,  0.0182, -0.0287,  0.0080, -0.0062
1492035485.9628639221,1492035485.9652750492, -0.1895,  0.0203,  0.0182, -0.0268,  0.0110, -0.0069
1492035485.9656519890,1492035485.9681649208, -0.1895,  0.0203,  0.0182, -0.0268,  0.0110, -0.0069
1492035485.9685359001,1492035485.9709749222, -0.1895,  0.0203,  0.0182, -0.0268,  0.0110, -0.0069
1492035485.9713521004,1492035485.9737379551, -0.1845,  0.0171,  0.0186, -0.0268,  0.0110, -0.0060
1492035485.9741129875,1492035485.9766299725, -0.1845,  0.0171,  0.0186, -0.0227,  0.0114, -0.0060
1492035485.9770059586,1492035485.9793999195, -0.1845,  0.0171,  0.0186, -0.0227,  0.0114, -0.0060
1492035485.9806110859,1492035485.9829220772, -0.1845,  0.0171,  0.0186, -0.0227,  0.0114, -0.0060
1492035485.9832940102,1492035485.9855940342, -0.1845,  0.0171,  0.0186, -0.0229,  0.0073, -0.0032
1492035485.9859631062,1492035485.9882628918, -0.1845,  0.0171,  0.0186, -0.0229,  0.0073, -0.0032
1492035485.9886329174,1492035485.9910490513, -0.1845,  0.0171,  0.0186, -0.0229,  0.0073, -0.0032
1492035485.9914269447,1492035485.9938530922, -0.1873,  0.0097,  0.0230, -0.0229,  0.0073, -0.0024
1492035485.9942319393,1492035485.9966590405, -0.1873,  0.0097,  0.0230, -0.0240,  0.0057, -0.0024
1492035485.9970378876,1492035485.9994599819, -0.1873,  0.0097,  0.0230, -0.0240,  0.0057, -0.0024
1492035485.9998381138,1492035486.0021560192, -0.1873,  0.0097,  0.0230, -0.0240,  0.0057, -0.0024
1492035486.0025300980,1492035486.0048370361, -0.1873,  0.0097,  0.0230, -0.0240,  0.0052, -0.0017
1492035486.0052089691,1492035486.0075109005, -0.1873,  0.0097,  0.0230, -0.0257,  0.0052, -0.0017
1492035486.0078799725,1492035486.0102291107, -0.1873,  0.0097,  0.0230, -0.0257,  0.0052, -0.0017
1492035486.0106010437,1492035486.0129029751, -0.1873,  0.0176,  0.0290, -0.0257,  0.0052, -0.0017
1492035486.0132730007,1492035486.0155720711, -0.1860,  0.0176,  0.0290, -0.0263,  0.0048, -0.0023
1492035486.0160610676,1492035486.0183589458, -0.1860,  0.0176,  0.0290, -0.0263,  0.0048, -0.0023
1492035486.0187280178,1492035486.0211880207, -0.1860,  0.0176,  0.0290, -0.0263,  0.0048, -0.0023
1492035486.0215570927,1492035486.0238521099, -0.1860,  0.0176,  0.0290, -0.0263,  0.0048, -0.0023
1492035486.0242199898,1492035486.0265250206, -0.1860,  0.0176,  0.0290, -0.0248,  0.0062, -0.0040
1492035486.0268950462,1492035486.0291950703, -0.1860,  0.0176,  0.0290, -0.0248,  0.0062, -0.0040
1492035486.0295650959,1492035486.0319120884, -0.1860,  0.0176,  0.0290, -0.0248,  0.0062, -0.0040
1492035486.0322809219,1492035486.0345900059, -0.1870,  0.0244,  0.0273, -0.0248,  0.0062, -0.0040
1492035486.0349590778,1492035486.0372641087, -0.1870,  0.0244,  0.0273, -0.0200,  0.0084, -0.0069
1492035486.0376319885,1492035486.0399320126, -0.1870,  0.0244,  0.0273, -0.0200,  0.0084, -0.0069
1492035486.0404779911,1492035486.0429079533, -0.1870,  0.0244,  0.0273, -0.0200,  0.0084, -0.0069
1492035486.0432860851,1492035486.0457129478, -0.1870,  0.0244,  0.0273, -0.0200,  0.0084, -0.0099
1492035486.0460879803,1492035486.0485188961, -0.1870,  0.0244,  0.0273, -0.0139,  0.0107, -0.0099
1492035486.0488960743,1492035486.0513319969, -0.1870,  0.0244,  0.0273, -0.0139,  0.0107, -0.0099
1492035486.0517098904,1492035486.0541300774, -0.1852,  0.0206,  0.0285, -0.0139,  0.0107, -0.0099
1492035486.0545039177,1492035486.0569379330, -0.1852,  0.0206,  0.0285, -0.0096,  0.0130, -0.0126
1492035486.0573139191,1492035486.0597400665, -0.1852,  0.0206,  0.0285, -0.0096,  0.0130, -0.0126
1492035486.0601260662,1492035486.0625560284, -0.1852,  0.0206,  0.0285, -0.0096,  0.0130, -0.0126
1492035486.0629339218,1492035486.0653688908, -0.1852,  0.0206,  0.0285, -0.0096,  0.0130, -0.0126
1492035486.0657460690,1492035486.0681788921, -0.1852,  0.0206,  0.0285, -0.0059,  0.0143, -0.0144
1492035486.0685570240,1492035486.0709869862, -0.1852,  0.0206,  0.0285, -0.0059,  0.0143, -0.0144
1492035486.0713589191,1492035486.0736610889, -0.1853,  0.0142,  0.0263, -0.0059,  0.0143, -0.0144
1492035486.0740299225,1492035486.0763289928, -0.1853,  0.0142,  0.0263, -0.0059,  0.0143, -0.0145
1492035486.0766959190,1492035486.0790040493, -0.1853,  0.0142,  0.0263, -0.0056,  0.0141, -0.0145
1492035486.0793719292,1492035486.0817790031, -0.1853,  0.0142,  0.0263, -0.0056,  0.0141, -0.0145
1492035486.0821559429,1492035486.0845870972, -0.1853,  0.0142,  0.0263, -0.0056,  0.0141, -0.0145
1492035486.0849640369,1492035486.0873990059, -0.1853,  0.0142,  0.0263, -0.0032,  0.0147, -0.0142
1492035486.0877759457,1492035486.0902330875, -0.1853,  0.0142,  0.0263, -0.0032,  0.0147, -0.0142
1492035486.0906109810,1492035486.0930380821, -0.1859,  0.0156,  0.0219, -0.0032,  0.0147, -0.0142
1492035486.0934150219,1492035486.0958459377, -0.1859,  0.0156,  0.0219, -0.0032,  0.0147, -0.0142
1492035486.0962629318,1492035486.0987060070, -0.1859,  0.0156,  0.0219, -0.0027,  0.0156, -0.0137
1492035486.0990839005,1492035486.1015210152, -0.1859,  0.0156,  0.0219, -0.0027,  0.0156, -0.0137
1492035486.1018970013,1492035486.1043229103, -0.1859,  0.0156,  0.0219, -0.0027,  0.0156, -0.0137
1492035486.1047010422,1492035486.1071279049, -0.1859,  0.0156,  0.0219, -0.0027,  0.0156, -0.0124
1492035486.1075038910,1492035486.1099259853, -0.1859,  0.0156,  0.0219, -0.0052,  0.0165, -0.0124
1492035486.1103539467,1492035486.1127789021, -0.1865,  0.0116,  0.0271, -0.0052,  0.0165, -0.0124
1492035486.1131560802,1492035486.1155860424, -0.1865,  0.0116,  0.0271, -0.0052,  0.0165, -0.0124
1492035486.1159620285,1492035486.1183860302, -0.1865,  0.0116,  0.0271, -0.0050,  0.0179, -0.0108
1492035486.1187639236,1492035486.1211900711, -0.1865,  0.0116,  0.0271, -0.0050,  0.0179, -0.0108
1492035486.1215589046,1492035486.1238648891, -0.1865,  0.0116,  0.0271, -0.0050,  0.0179, -0.0108
1492035486.1242339611,1492035486.1265339851, -0.1865,  0.0116,  0.0271, -0.0050,  0.0179, -0.0108
1492035486.1269049644,1492035486.1292018890, -0.1865,  0.0116,  0.0271, -0.0040,  0.0194, -0.0095
1492035486.1295719147,1492035486.1319088936, -0.1865,  0.0173,  0.0280, -0.0040,  0.0194, -0.0095
1492035486.1324000359,1492035486.1346991062, -0.1848,  0.0173,  0.0280, -0.0040,  0.0194, -0.0095
1492035486.1350679398,1492035486.1373660564, -0.1848,  0.0173,  0.0280, -0.0040,  0.0194, -0.0095
1492035486.1377348900,1492035486.1400680542, -0.1848,  0.0173,  0.0280, -0.0021,  0.0202, -0.0095
1492035486.1404380798,1492035486.1427319050, -0.1848,  0.0173,  0.0280, -0.0021,  0.0202, -0.0095
1492035486.1431019306,1492035486.1454019547, -0.1848,  0.0173,  0.0280, -0.0021,  0.0202, -0.0095
1492035486.1457719803,1492035486.1480710506, -0.1848,  0.0173,  0.0280, -0.0021,  0.0202, -0.0095
1492035486.1484389305,1492035486.1508960724, -0.1848,  0.0173,  0.0280,  0.0001,  0.0235, -0.0085
1492035486.1512649059,1492035486.1535649300, -0.1841,  0.0116,  0.0288,  0.0001,  0.0235, -0.0085
1492035486.1539330482,1492035486.1562349796, -0.1841,  0.0116,  0.0288,  0.0001,  0.0235, -0.0085
1492035486.1566050053,1492035486.1589050293, -0.1841,  0.0116,  0.0288,  0.0001,  0.0235, -0.0075
1492035486.1592750549,1492035486.1617729664, -0.1841,  0.0116,  0.0288,  0.0016,  0.0249, -0.0075
1492035486.1621499062,1492035486.1645729542, -0.1841,  0.0116,  0.0288,  0.0016,  0.0249, -0.0075
1492035486.1649498940,1492035486.1673719883, -0.1841,  0.0116,  0.0288,  0.0016,  0.0249, -0.0075
1492035486.1677520275,1492035486.1702411175, -0.1841,  0.0116,  0.0288,  0.0028,  0.0281, -0.0070
1492035486.1706099510,1492035486.1729118824, -0.1868,  0.0205,  0.0253,  0.0028,  0.0281, -0.0070
1492035486.1732809544,1492035486.1755800247, -0.1868,  0.0205,  0.0253,  0.0028,  0.0281, -0.0070
1492035486.1759479046,1492035486.1782488823, -0.1868,  0.0205,  0.0253,  0.0028,  0.0281, -0.0070
1492035486.1786179543,1492035486.1810190678, -0.1868,  0.0205,  0.0253,  0.0037,  0.0323, -0.0070
1492035486.1813991070,1492035486.1838250160, -0.1868,  0.0205,  0.0253,  0.0037,  0.0323, -0.0070
1492035486.1842010021,1492035486.1866281033, -0.1868,  0.0205,  0.0253,  0.0037,  0.0323, -0.0070
1492035486.1870040894,1492035486.1894309521, -0.1868,  0.0205,  0.0253,  0.0037,  0.0323, -0.0066
1492035486.1898100376,1492035486.1922450066, -0.1860,  0.0157,  0.0216,  0.0058,  0.0330, -0.0066
1492035486.1926219463,1492035486.1950469017, -0.1860,  0.0157,  0.0216,  0.0058,  0.0330, -0.0066
1492035486.1954240799,1492035486.1978459358, -0.1860,  0.0157,  0.0216,  0.0058,  0.0330, -0.0066
1492035486.1982219219,1492035486.2006580830, -0.1860,  0.0157,  0.0216,  0.0104,  0.0333, -0.0052
1492035486.2010350227,1492035486.2034609318, -0.1860,  0.0157,  0.0216,  0.0104,  0.0333, -0.0052
1492035486.2038369179,1492035486.2062621117, -0.1860,  0.0157,  0.0216,  0.0104,  0.0333, -0.0052
1492035486.2066380978,1492035486.2090649605, -0.1860,  0.0157,  0.0216,  0.0104,  0.0333, -0.0052
1492035486.2094430923,1492035486.2118790150, -0.1840,  0.0162,  0.0219,  0.0126,  0.0342, -0.0035
1492035486.2122550011,1492035486.2146770954, -0.1840,  0.0162,  0.0219,  0.0126,  0.0342, -0.0035
1492035486.2150530815,1492035486.2174780369, -0.1840,  0.0162,  0.0219,  0.0126,  0.0342, -0.0035
1492035486.2178540230,1492035486.2202870846, -0.1840,  0.0162,  0.0219,  0.0126,  0.0342, -0.0020
1492035486.2206559181,1492035486.2229590416, -0.1840,  0.0162,  0.0219,  0.0128,  0.0357, -0.0020
1492035486.2233281136,1492035486.2256290913, -0.1840,  0.0162,  0.0219,  0.0128,  0.0357, -0.0020
1492035486.2259960175,1492035486.2282960415, -0.1840,  0.0162,  0.0219,  0.0128,  0.0357, -0.0020
1492035486.2286651134,1492035486.2310628891, -0.1840,  0.0123,  0.0242,  0.0128,  0.0383,  0.0005
1492035486.2314410210,1492035486.2338678837, -0.1853,  0.0123,  0.0242,  0.0140,  0.0383,  0.0005
1492035486.2342460155,1492035486.2366709709, -0.1853,  0.0123,  0.0242,  0.0140,  0.0383,  0.0005
1492035486.2370450497,1492035486.2394630909, -0.1853,  0.0123,  0.0242,  0.0140,  0.0383,  0.0005
1492035486.2398409843,1492035486.2422749996, -0.1853,  0.0123,  0.0242,  0.0135,  0.0411,  0.0034
1492035486.2426519394,1492035486.2450740337, -0.1853,  0.0123,  0.0242,  0.0135,  0.0411,  0.0034
1492035486.2454490662,1492035486.2478780746, -0.1853,  0.0123,  0.0242,  0.0135,  0.0411,  0.0034
1492035486.2483630180,1492035486.2508380413, -0.1853,  0.0168,  0.0236,  0.0135,  0.0411,  0.0034
1492035486.2512159348,1492035486.2536399364, -0.1863,  0.0168,  0.0236,  0.0126,  0.0423,  0.0076
1492035486.2540159225,1492035486.2564420700, -0.1863,  0.0168,  0.0236,  0.0126,  0.0423,  0.0076
1492035486.2568190098,1492035486.2592470646, -0.1863,  0.0168,  0.0236,  0.0126,  0.0423,  0.0076
1492035486.2596220970,1492035486.2620530128, -0.1863,  0.0168,  0.0236,  0.0126,  0.0431,  0.0098
1492035486.2624309063,1492035486.2648561001, -0.1863,  0.0168,  0.0236,  0.0106,  0.0431,  0.0098
1492035486.2652320862,1492035486.2676570415, -0.1863,  0.0168,  0.0236,  0.0106,  0.0431,  0.0098
1492035486.2680339813,1492035486.2704510689, -0.1863,  0.0190,  0.0231,  0.0106,  0.0431,  0.0098
1492035486.2708210945,1492035486.2731211185, -0.1846,  0.0190,  0.0231,  0.0091,  0.0459,  0.0125
1492035486.2734899521,1492035486.2757849693, -0.1846,  0.0190,  0.0231,  0.0091,  0.0459,  0.0125
1492035486.2761518955,1492035486.2784550190, -0.1846,  0.0190,  0.0231,  0.0091,  0.0459,  0.0125
1492035486.2788250446,1492035486.2812469006, -0.1846,  0.0190,  0.0231,  0.0091,  0.0459,  0.0125
1492035486.2816219330,1492035486.2840509415, -0.1846,  0.0190,  0.0231,  0.0087,  0.0493,  0.0141
1492035486.2844278812,1492035486.2868480682, -0.1846,  0.0190,  0.0231,  0.0087,  0.0493,  0.0141
1492035486.2872231007,1492035486.2896449566, -0.1846,  0.0190,  0.0231,  0.0087,  0.0493,  0.0141
1492035486.2900309563,1492035486.2924580574, -0.1868,  0.0216,  0.0172,  0.0087,  0.0493,  0.0154
1492035486.2928340435,1492035486.2952620983, -0.1868,  0.0216,  0.0172,  0.0078,  0.0504,  0.0154
1492035486.2956390381,1492035486.2980608940, -0.1868,  0.0216,  0.0172,  0.0078,  0.0504,  0.0154
1492035486.2984371185,1492035486.3008840084, -0.1868,  0.0216,  0.0172,  0.0078,  0.0504,  0.0154
1492035486.3012590408,1492035486.3036870956, -0.1868,  0.0216,  0.0172,  0.0076,  0.0513,  0.0170
1492035486.3040630817,1492035486.3064889908, -0.1868,  0.0216,  0.0172,  0.0076,  0.0513,  0.0170
1492035486.3068659306,1492035486.3092970848, -0.1868,  0.0216,  0.0172,  0.0076,  0.0513,  0.0170
1492035486.3096721172,1492035486.3120040894, -0.1841,  0.0186,  0.0191,  0.0076,  0.0513,  0.0170
1492035486.3123729229,1492035486.3146739006, -0.1841,  0.0186,  0.0191,  0.0070,  0.0525,  0.0182
1492035486.3150420189,1492035486.3173439503, -0.1841,  0.0186,  0.0191,  0.0070,  0.0525,  0.0182
1492035486.3177139759,1492035486.3200531006, -0.1841,  0.0186,  0.0191,  0.0070,  0.0525,  0.0182
1492035486.3204309940,1492035486.3228549957, -0.1841,  0.0186,  0.0191,  0.0070,  0.0525,  0.0182
1492035486.3232309818,1492035486.3256568909, -0.1841,  0.0186,  0.0191,  0.0041,  0.0546,  0.0212
1492035486.3260309696,1492035486.3284580708, -0.1841,  0.0186,  0.0191,  0.0041,  0.0546,  0.0212
1492035486.3288359642,1492035486.3312749863, -0.1885,  0.0184,  0.0211,  0.0041,  0.0546,  0.0212
1492035486.3316500187,1492035486.3340749741, -0.1885,  0.0184,  0.0211,  0.0041,  0.0573,  0.0263
1492035486.3344500065,1492035486.3368771076, -0.1885,  0.0184,  0.0211,  0.0031,  0.0573,  0.0263
1492035486.3372559547,1492035486.3396799564, -0.1885,  0.0184,  0.0211,  0.0031,  0.0573,  0.0263
1492035486.3400640488,1492035486.3424880505, -0.1885,  0.0184,  0.0211,  0.0031,  0.0573,  0.0263
1492035486.3428630829,1492035486.3452899456, -0.1885,  0.0184,  0.0211,  0.0037,  0.0609,  0.0312
1492035486.3456640244,1492035486.3480939865, -0.1885,  0.0184,  0.0211,  0.0037,  0.0609,  0.0312
1492035486.3484709263,1492035486.3509080410, -0.1895,  0.0151,  0.0187,  0.0037,  0.0609,  0.0312
1492035486.3512830734,1492035486.3537058830, -0.1895,  0.0151,  0.0187,  0.0037,  0.0609,  0.0312
1492035486.3540799618,1492035486.3565089703, -0.1895,  0.0151,  0.0187,  0.0002,  0.0678,  0.0381
1492035486.3568859100,1492035486.3593089581, -0.1895,  0.0151,  0.0187,  0.0002,  0.0678,  0.0381
1492035486.3596839905,1492035486.3620269299, -0.1895,  0.0151,  0.0187,  0.0002,  0.0678,  0.0381
1492035486.3623960018,1492035486.3646960258, -0.1895,  0.0151,  0.0187,  0.0002,  0.0756,  0.0487
1492035486.3651700020,1492035486.3674709797, -0.1895,  0.0151,  0.0187, -0.0013,  0.0740,  0.0487
1492035486.3678419590,1492035486.3701438904, -0.1957,  0.0075,  0.0282, -0.0013,  0.0740,  0.0487
1492035486.3705151081,1492035486.3728089333, -0.1957,  0.0075,  0.0282, -0.0013,  0.0740,  0.0487
1492035486.3731789589,1492035486.3754830360, -0.1957,  0.0075,  0.0282,  0.0002,  0.0822,  0.0612
1492035486.3758521080,1492035486.3781530857, -0.1957,  0.0075,  0.0282,  0.0002,  0.0822,  0.0612
1492035486.3785219193,1492035486.3808801174, -0.1957,  0.0075,  0.0282,  0.0002,  0.0822,  0.0612
1492035486.3812580109,1492035486.3836839199, -0.1957,  0.0075,  0.0282,  0.0002,  0.0822,  0.0612
1492035486.3840610981,1492035486.3864920139, -0.1957,  0.0075,  0.0282, -0.0001,  0.0928,  0.0748
1492035486.3868689537,1492035486.3892960548, -0.1957,  0.0075,  0.0407, -0.0001,  0.0928,  0.0748
1492035486.3896749020,1492035486.3921039104, -0.2050,  0.0041,  0.0407, -0.0001,  0.0928,  0.0748
1492035486.3924820423,1492035486.3949089050, -0.2050,  0.0041,  0.0407, -0.0001,  0.0928,  0.0748
1492035486.3952879906,1492035486.3977169991, -0.2050,  0.0041,  0.0407, -0.0005,  0.1053,  0.0924
1492035486.3980939388,1492035486.4005270004, -0.2050,  0.0041,  0.0407, -0.0005,  0.1053,  0.0924
1492035486.4009048939,1492035486.4033350945, -0.2050,  0.0041,  0.0407, -0.0005,  0.1053,  0.0924
1492035486.4037129879,1492035486.4061369896, -0.2050,  0.0041,  0.0407,  0.0073,  0.1246,  0.1164
1492035486.4065139294,1492035486.4089388847, -0.2050,  0.0041,  0.0425,  0.0030,  0.1246,  0.1164
1492035486.4093179703,1492035486.4116659164, -0.2138, -0.0046,  0.0425,  0.0030,  0.1246,  0.1164
1492035486.4120359421,1492035486.4143319130, -0.2138, -0.0046,  0.0425,  0.0030,  0.1246,  0.1164
1492035486.4147028923,1492035486.4170041084, -0.2138, -0.0046,  0.0425,  0.0102,  0.1482,  0.1413
1492035486.4173738956,1492035486.4196729660, -0.2138, -0.0046,  0.0425,  0.0102,  0.1482,  0.1413
1492035486.4200649261,1492035486.4224929810, -0.2138, -0.0046,  0.0425,  0.0102,  0.1482,  0.1413
1492035486.4228699207,1492035486.4253010750, -0.2138, -0.0046,  0.0425,  0.0102,  0.1482,  0.1413
1492035486.4256770611,1492035486.4281001091, -0.2138, -0.0046,  0.0425,  0.0329,  0.1747,  0.1707
1492035486.4284780025,1492035486.4309151173, -0.2522,  0.0203,  0.0189,  0.0329,  0.1747,  0.1707
1492035486.4312920570,1492035486.4337179661, -0.2522,  0.0203,  0.0189,  0.0329,  0.1747,  0.1707
1492035486.4340929985,1492035486.4365251064, -0.2522,  0.0203,  0.0189,  0.0329,  0.1747,  0.1954
1492035486.4369020462,1492035486.4393320084, -0.2522,  0.0203,  0.0189,  0.0788,  0.2010,  0.1954
1492035486.4397089481,1492035486.4421451092, -0.2522,  0.0203,  0.0189,  0.0788,  0.2010,  0.1954
1492035486.4425210953,1492035486.4449450970, -0.2522,  0.0203,  0.0189,  0.0788,  0.2010,  0.1954
1492035486.4453210831,1492035486.4477500916, -0.2522,  0.0203,  0.0189,  0.1243,  0.2298,  0.2214
1492035486.4481270313,1492035486.4505290985, -0.3195,  0.0112,  0.0189,  0.1243,  0.2298,  0.2214
1492035486.4508988857,1492035486.4531989098, -0.3195,  0.0112,  0.0189,  0.1243,  0.2298,  0.2214
1492035486.4535660744,1492035486.4558670521, -0.3195,  0.0112,  0.0189,  0.1243,  0.2298,  0.2214
1492035486.4562349319,1492035486.4585340023, -0.3195,  0.0112,  0.0189,  0.1663,  0.2653,  0.2522
1492035486.4589009285,1492035486.4612801075, -0.3195,  0.0112,  0.0189,  0.1663,  0.2653,  0.2522
1492035486.4616560936,1492035486.4640769958, -0.3195,  0.0112,  0.0189,  0.1663,  0.2653,  0.2522
1492035486.4644520283,1492035486.4668769836, -0.3195,  0.0112,  0.0189,  0.1663,  0.2653,  0.2522
1492035486.4672520161,1492035486.4696791172, -0.3906,  0.0015,  0.0176,  0.1761,  0.3039,  0.2811
1492035486.4700679779,1492035486.4724929333, -0.3906,  0.0015,  0.0176,  0.1761,  0.3039,  0.2811
1492035486.4728710651,1492035486.4752929211, -0.3906,  0.0015,  0.0176,  0.1761,  0.3039,  0.2811
